wave_type,mean,max,min,sign,disorder
Beta,-8.620253506259814,6.266826154038661,-17.84941060158534,negative,stress
Alpha,16.10857447052952,33.56941243247617,13.822569696537315,positive,insomnia
Delta,-23.69509349534049,-15.959291739624259,-30.645803133858394,negative,insomnia
Beta,-49.22697733071962,-45.88507891056461,-50.78768760504519,negative,depression
Alpha,2.555518657203912,12.006335581934625,2.3330391820643888,positive,neutral
Gamma,42.513151744317994,50.20165364018856,40.25028249464006,positive,anxiety
Alpha,13.919394517356821,30.7067783672772,7.654153413616255,positive,depression
Delta,27.077124958449858,35.33857012959588,13.248812943808245,positive,depression
Delta,-45.68854390228451,-27.49987861417296,-57.144196747122606,negative,neutral
Delta,40.29796581671286,57.1657296697468,32.309384039505645,positive,insomnia
Theta,-39.22604721845296,-25.310602944170505,-43.8598275370291,negative,depression
Gamma,13.858559344550159,14.565302222868311,5.045652539938905,positive,neutral
Gamma,-40.779453380358035,-21.750512595039197,-46.90332841661754,negative,depression
Alpha,49.5255802697762,61.32555087107017,46.47504218922773,positive,anxiety
Alpha,-41.60243965908774,-24.979408634788783,-54.43302372325733,negative,insomnia
Gamma,17.46750101235631,19.802554832496988,12.468524737002113,positive,anxiety
Gamma,-3.192725229649106,0.6099507796238632,-10.132274380061913,negative,anxiety
Beta,22.496165165724022,24.749454703162076,17.700207181601325,positive,stress
Beta,42.122178778642706,61.328186473101525,30.0518339118344,positive,insomnia
Alpha,3.9643404251556333,8.304196410831068,2.6796290029585843,positive,depression
Gamma,2.3573025265247978,4.560404306816858,-17.03275647595157,positive,neutral
Theta,-0.40551572869500774,15.130860937667613,-16.225312034628764,negative,insomnia
Gamma,-46.52782472471586,-39.96974239318002,-62.69966604718583,negative,insomnia
Theta,40.825022300800484,46.57844464971663,30.370187997590424,positive,insomnia
Theta,-13.397953121925568,-4.159973569958959,-25.339768042579863,negative,insomnia
Delta,28.74061057494316,35.51376280960679,9.192705332027199,positive,stress
Beta,48.43185843612572,49.08790128874636,31.64545817812701,positive,anxiety
Delta,-34.877505815012235,-33.73049606445432,-52.54847305537461,negative,insomnia
Delta,-10.34322261514243,-6.769202761843742,-24.02091742297859,negative,neutral
Theta,7.401779204111271,18.24815069212482,-10.206702178333174,positive,stress
Delta,27.621106943355286,46.39417311049067,21.78204997046438,positive,insomnia
Beta,26.127972577379566,30.108684145393216,20.409281106175442,positive,depression
Delta,-49.613829251336625,-48.97187560272712,-64.83776696009024,negative,stress
Alpha,-17.39494625941466,-14.479021946528901,-36.58499484478203,negative,anxiety
Delta,45.8855888103225,64.15254666582987,38.935867724373004,positive,depression
Theta,1.4850441353147943,21.031201212043754,-1.5924824422519306,positive,neutral
Gamma,-45.44632271981091,-36.20118755448539,-56.417517248309636,negative,depression
Theta,-11.214286868805559,-9.610655031597714,-12.019748651205738,negative,stress
Delta,-20.06732344133706,-4.988927408647614,-30.600881683879262,negative,depression
Delta,-20.288316486380186,-11.648561142658329,-34.167016671175276,negative,neutral
Gamma,-18.49051050000169,-3.0798383150175397,-33.650431986450634,negative,depression
Beta,-11.998530355483595,-8.345250600364327,-29.09507794579987,negative,insomnia
Alpha,-46.39212035049226,-40.592249626041024,-59.32561874447525,negative,insomnia
Delta,-1.2155990531274483,12.654996282157185,-16.69629219653531,negative,depression
Alpha,3.1666562176300346,22.95205185228279,-15.047186995008587,positive,insomnia
Theta,36.57497744220842,44.266591209711144,19.566648521238307,positive,insomnia
Beta,2.4662999323997212,9.943374007412336,-3.2735185023150866,positive,stress
Gamma,-32.14852848628361,-24.71539995169809,-51.66475793547451,negative,neutral
Gamma,-41.66735909760191,-39.341396875650716,-59.966893212428346,negative,insomnia
Beta,-34.525106752374334,-18.739906544749314,-51.87852741487315,negative,neutral
Delta,-15.391012915406158,3.5888928867845458,-25.453186221627305,negative,neutral
Delta,0.38740888478333346,0.8213050763181684,-17.927759143767062,positive,stress
Delta,47.13671609669994,56.1029503064726,37.89919381960041,positive,neutral
Beta,5.317659508473604,24.4889768371643,-13.192982308773498,positive,stress
Gamma,-49.5152998289947,-34.51783921146225,-53.270611854316904,negative,stress
Theta,29.32327537022978,31.57920965676061,16.67806249963344,positive,anxiety
Theta,11.325060401522904,14.810382655173216,4.297678092168029,positive,anxiety
Delta,23.038654552418365,23.473322466297265,10.498518173933622,positive,depression
Delta,2.359248128802193,19.650022183141136,-3.3557316590940225,positive,anxiety
Theta,-47.70046237763381,-36.48650944998167,-66.53370286117512,negative,depression
Delta,4.637784023018867,22.07373836726719,-0.4190340044758205,positive,neutral
Theta,-10.317729625169804,2.422440466260955,-18.514897148835715,negative,insomnia
Theta,40.78236908310949,48.42062827168811,36.188837920402925,positive,anxiety
Beta,-36.78902242404375,-25.631439490639025,-42.614544313233736,negative,stress
Alpha,-43.03832509835114,-35.48329177391788,-51.51547052526491,negative,neutral
Theta,46.11084618312363,53.628807555136966,33.01054113255249,positive,depression
Gamma,-35.87781847159269,-20.10704175193591,-52.58866065938392,negative,depression
Theta,16.02053888982809,24.093594942075825,14.28133949145624,positive,depression
Gamma,38.635895811660276,40.3155641217125,23.930454706700406,positive,depression
Gamma,-2.0746859104248117,16.544429811957805,-11.172532034737504,negative,anxiety
Delta,16.523176633664562,23.209718369606833,2.829440874574612,positive,stress
Gamma,-3.83612693322015,-0.7415008132999694,-10.381286619073231,negative,anxiety
Alpha,44.52543375153928,54.15741863956749,41.55936439653324,positive,neutral
Delta,23.66916048900994,38.59982277335781,11.520796122827486,positive,anxiety
Theta,-36.22924743976282,-27.70466565883226,-54.96868236423519,negative,neutral
Gamma,-5.26757179420796,8.557975305025744,-21.48114544815067,negative,stress
Gamma,30.66242201126326,36.62168315700009,18.394976506908023,positive,neutral
Gamma,-1.8192149329209428,3.1199618376318856,-20.092353701736656,negative,neutral
Beta,6.465675896823619,18.37645312184331,-3.721147835504784,positive,insomnia
Gamma,-5.938914468870173,9.889701819048335,-21.555099717445977,negative,neutral
Alpha,16.780100905097058,30.835993052386637,1.0823712950001685,positive,anxiety
Beta,-37.80860157931324,-34.96921904581358,-54.520815933550104,negative,depression
Beta,-33.58247315196561,-17.980555377120147,-45.32671005486526,negative,insomnia
Theta,42.34266262958154,44.73864613076812,26.049055291742416,positive,neutral
Gamma,-25.70852074063794,-22.619699771931945,-33.515015890053874,negative,stress
Beta,45.6813489366304,46.380835024610924,25.889062219047187,positive,insomnia
Theta,10.898876707553917,28.39689735687208,-0.643319961080401,positive,anxiety
Theta,-24.462039902055178,-19.699942086393417,-34.917077109438964,negative,stress
Delta,33.29526721157396,51.35640096955427,27.023201902234522,positive,stress
Delta,-49.00157066223441,-43.56817768379076,-61.107764888195064,negative,depression
Delta,-40.50346620589592,-21.38514718146267,-46.39987982966151,negative,neutral
Gamma,-19.399773059925852,-0.5490734997455569,-37.14416940977105,negative,depression
Beta,-10.172489310119623,0.8433892660857278,-11.963566187506409,negative,stress
Theta,19.262415987166165,32.084381657851345,10.37705507085843,positive,insomnia
Delta,7.720977070969404,16.358601172771742,-5.480535936362907,positive,stress
Beta,-36.13274196677381,-17.76488129597376,-54.733961896893334,negative,neutral
Alpha,-0.776176103528968,0.6511575510237568,-9.520930123693361,negative,depression
Theta,-28.050580421590098,-22.668236487671983,-40.77526604780085,negative,neutral
Theta,5.5873221710857095,25.501733338881962,-12.051470011882703,positive,depression
Beta,49.709478335528104,51.0054286304119,42.681945603170256,positive,depression
Delta,31.112583743492735,34.09333246891381,16.749090402487553,positive,insomnia
Gamma,31.929572335556074,37.30316309513471,31.713408584590727,positive,insomnia
Beta,33.52688114133734,34.54415957031985,24.124271856931337,positive,stress
Theta,-13.050953497463524,-0.3777349944484172,-32.485466891545954,negative,depression
Gamma,6.468927332996053,22.819947616194266,-1.813830937510108,positive,neutral
Theta,-15.094977852444593,1.1420457587147474,-34.21917901240124,negative,depression
Delta,-17.70099796654239,-2.2386730639007233,-26.517939049169172,negative,stress
Beta,-39.0630561236341,-35.442663841265215,-41.99435880712365,negative,depression
Beta,-15.4696709154032,-14.465405510355728,-21.72165456962466,negative,depression
Theta,33.72614690666116,49.148706471687916,26.741600311076198,positive,insomnia
Delta,-3.7256789026126853,0.6375477495908326,-23.333301841657864,negative,neutral
Delta,7.944998716774684,16.9872778528846,1.8345436903840593,positive,insomnia
Gamma,2.9545556066805005,13.862848869959606,-11.674038005979959,positive,neutral
Theta,9.114356808478988,22.066810176730996,-7.5149495680088805,positive,anxiety
Beta,10.519856165679876,19.32945722114979,-6.918536273131306,positive,depression
Gamma,-38.6481245173986,-24.367862846888833,-52.72293478019944,negative,anxiety
Beta,4.365926449677801,24.06461703046236,-8.826862904173892,positive,neutral
Delta,-25.98966858295607,-18.622109827703387,-33.269694339600754,negative,stress
Gamma,-42.3229434215326,-32.656738023936676,-50.61153149116348,negative,neutral
Theta,-7.2164822022267,-0.42386268712123343,-23.395735332827346,negative,depression
Alpha,9.892044552356936,24.090171174464803,-0.8014800193103877,positive,insomnia
Alpha,-24.703849826431366,-6.106083366209262,-32.717584429877036,negative,neutral
Theta,-45.5153521400511,-37.024635494197085,-62.52756295516056,negative,depression
Beta,14.844099725124124,28.995574268800357,6.483950407931625,positive,neutral
Theta,47.99566929358019,66.83291720774234,47.32194234891736,positive,neutral
Alpha,4.8739088834842335,8.4885113651216,-10.348840400441752,positive,depression
Delta,-23.48595765789916,-13.282509336630065,-25.127213038139562,negative,anxiety
Alpha,-23.27683958139429,-22.99722520573193,-41.8771996118727,negative,depression
Gamma,14.723459123833393,16.384015404210935,1.7044533068078174,positive,insomnia
Theta,44.74902547428292,58.36060024026522,44.071052654501756,positive,stress
Gamma,37.574479650225484,51.17669433660631,29.565881119162523,positive,depression
Gamma,13.48195979056991,31.661392684007417,9.308593835607532,positive,anxiety
Theta,-23.53875936392963,-10.34234272352764,-42.48727422033363,negative,anxiety
Alpha,-7.208838939767595,2.9505401354683123,-23.72790144190246,negative,insomnia
Delta,-34.95540357947114,-33.856200520405324,-41.740450810630335,negative,depression
Delta,-1.1826672758135572,4.857155039545987,-4.810642560338977,negative,depression
Gamma,-2.584071926880874,3.8688536544426757,-6.496815044006116,negative,depression
Gamma,34.385045201892254,46.277744615405226,28.564014539173044,positive,depression
Theta,26.457277163791133,34.50384258990192,16.782432833896696,positive,depression
Gamma,19.330272943962797,35.56344255271419,13.55195022404106,positive,neutral
Theta,35.95723376402955,45.054339607287574,33.03214973618601,positive,insomnia
Delta,46.602004668228915,62.475877983249205,28.621482009703275,positive,stress
Theta,-41.779425884998865,-30.99793325418751,-53.3076963465671,negative,neutral
Alpha,8.45351732395094,13.367736786114737,7.581815972591706,positive,neutral
Theta,-33.87815797600893,-14.803205696043939,-36.12258495003378,negative,anxiety
Theta,0.5108533544427516,15.433485257918946,-1.792516361256721,positive,depression
Theta,-12.75573836292839,-8.953342993929121,-14.180733079636816,negative,neutral
Delta,33.96078876213706,53.342758756783844,21.1388413900288,positive,stress
Gamma,37.46194897033229,45.97760474007023,35.17424081914828,positive,insomnia
Gamma,-44.59679783041847,-41.91493612586332,-57.295228409789715,negative,depression
Alpha,12.181759659816926,15.7897696395433,7.821492118767676,positive,neutral
Alpha,21.77497877558922,37.520745352343305,17.41902431242727,positive,stress
Beta,-38.765103767441424,-27.481732214081212,-44.52437103395094,negative,anxiety
Gamma,-3.703443555470173,-1.2842952425080902,-21.55286595440881,negative,neutral
Theta,12.832473769251926,19.939895963715664,6.873172278651294,positive,neutral
Delta,-47.76749792363674,-43.11474858043119,-62.94314134634783,negative,anxiety
Theta,10.813060442537811,19.084431015257515,-4.4740019989145345,positive,neutral
Beta,-4.761673273793207,0.3110334928200711,-16.550662587733814,negative,stress
Theta,43.767123180479956,52.25543775795315,32.544030573269,positive,anxiety
Delta,-37.70248226956811,-29.89635208528233,-46.298333647210754,negative,stress
Delta,-6.173875696745398,8.228387436368312,-25.311893453587444,negative,neutral
Beta,-33.84231554510923,-28.708646218118357,-46.96680859159669,negative,depression
Gamma,-28.07919738124307,-11.422719201027387,-37.96420382437044,negative,depression
Gamma,28.15215345747839,28.744383200687075,26.73347983129266,positive,stress
Delta,33.955545634646484,40.53567080174872,26.91231761664976,positive,anxiety
Alpha,4.751499966414876,6.783191454293453,-15.13949839310288,positive,neutral
Beta,-44.92737080401763,-35.907161372268845,-54.10981315219825,negative,stress
Delta,1.6462118407428292,3.0517874370727958,-16.496228068536677,positive,stress
Alpha,10.841391959152148,29.995411867003916,2.9253174446056676,positive,neutral
Gamma,14.741500424239163,25.163764109729875,-4.603906067456396,positive,anxiety
Theta,-3.19878390616811,7.212117703367106,-18.006369998708877,negative,neutral
Theta,42.24118428977539,54.51364009977475,36.46795597402513,positive,stress
Delta,-34.8692361968617,-29.681307123371138,-41.78252546781603,negative,anxiety
Delta,43.32813797710419,45.48138042814465,27.867458844896554,positive,depression
Beta,-17.597475120656384,-1.0376193020839608,-29.45067355900783,negative,depression
Alpha,17.81795109754019,25.222291549497605,1.6385854408717826,positive,anxiety
Gamma,-30.343161838275144,-14.37442714041829,-42.94652808223449,negative,stress
Beta,-22.32266871538059,-18.79961115374601,-28.23953879151282,negative,stress
Beta,2.7351215392938357,12.422971882655894,2.5719217428450594,positive,depression
Gamma,-8.584002362074273,3.060037738309884,-13.749051634537647,negative,stress
Gamma,-12.503709657126372,-8.20961112776116,-13.262329923861039,negative,neutral
Alpha,11.663155966034623,19.265093245732757,8.927186184333014,positive,anxiety
Gamma,-10.350671576925919,-8.203444764431264,-12.939766957746206,negative,insomnia
Gamma,47.726564088883705,64.62108228757417,45.60333460468002,positive,insomnia
Beta,25.363005486416597,36.22940041901148,18.30418435767563,positive,depression
Delta,41.4508447066589,44.06624137346235,40.58285703067442,positive,anxiety
Gamma,-14.758688831643298,4.3003955956908335,-26.688301589216458,negative,insomnia
Theta,-25.285212664348133,-6.951720486726273,-32.563456810647494,negative,depression
Theta,16.451329971877243,22.500333486848056,16.334069778512685,positive,insomnia
Theta,13.345984620055653,13.684249508737178,1.4521661041847764,positive,stress
Beta,37.36283399204606,45.70429526537187,27.02618818170364,positive,depression
Delta,-49.527177461155425,-38.38792100692138,-58.23074727015992,negative,insomnia
Alpha,-32.612759892772985,-26.707853337846903,-38.496153632582256,negative,neutral
Alpha,-8.73255214007024,4.277663038527958,-16.759462532382685,negative,insomnia
Theta,20.820121940870933,28.234007204318534,20.701029573457415,positive,depression
Gamma,1.1664619404097323,19.257798905706395,-10.787569055310502,positive,stress
Delta,-24.982465485175652,-12.94272792871471,-34.51814378447925,negative,anxiety
Theta,-16.42500552630586,-12.171545526448321,-21.213747861518538,negative,neutral
Theta,28.019123211787516,47.76701650329007,20.162355403537813,positive,insomnia
Beta,-22.383373655976058,-17.056470415785245,-31.202020250866383,negative,stress
Delta,-3.614905650737832,1.979109353287405,-17.54576270921614,negative,anxiety
Gamma,5.389487960639258,6.782199559872128,-0.0462559265653093,positive,neutral
Theta,-17.89750189672629,-11.755420618473696,-25.899713048791348,negative,neutral
Delta,13.524746123664585,15.999834513553537,6.553812248586178,positive,stress
Theta,-0.8784877842970076,12.834283564543108,-1.9847169450131532,negative,stress
Theta,-25.83339598260743,-16.102082964733793,-30.17174110127125,negative,stress
Delta,17.635450456663676,32.00311715643906,3.136306787127559,positive,anxiety
Theta,17.33282678262607,23.754800062209558,9.206073800764838,positive,anxiety
Delta,18.15216848254309,38.05208487002213,1.8890108361879,positive,depression
Gamma,-33.6378679584839,-30.760142086623993,-47.96784099438043,negative,depression
Beta,-38.10379168611756,-33.734632787091165,-38.252777286461416,negative,insomnia
Alpha,48.755305345960394,54.05068301485377,29.318836447842678,positive,stress
Alpha,-9.608177822215282,6.697034608701806,-18.141871975448765,negative,depression
Beta,29.61192176052785,35.9144703054734,27.52876236983739,positive,depression
Theta,29.276511341651315,36.81273853739857,11.988442222734562,positive,stress
Theta,-9.819007334105322,-5.704997786867279,-12.489048200171935,negative,anxiety
Alpha,-44.791629288761094,-40.90253287572892,-61.39630933594917,negative,stress
Alpha,-22.636280776341234,-14.92255701997549,-29.5993805868658,negative,depression
Beta,-14.348664849971449,-5.225420707367688,-33.60424006463434,negative,stress
Alpha,34.865956740053704,42.82845179833026,27.799781968946363,positive,stress
Alpha,-45.90104914031723,-44.01954289920166,-64.45319811860884,negative,stress
Alpha,-47.83198123189196,-30.517370453187933,-56.86682588930751,negative,anxiety
Gamma,38.44735973905759,45.49349158685111,18.673190107706883,positive,neutral
Gamma,-32.546822894607146,-26.26774649063205,-42.57103613879608,negative,depression
Theta,1.7753394363411843,8.970690088105751,-0.03674641434545789,positive,stress
Delta,16.634980936157547,20.187430678209516,11.881765287012055,positive,insomnia
Gamma,25.547234399931696,42.799687758666565,23.165830769514308,positive,insomnia
Alpha,-10.749980040344418,2.2186609723742308,-15.26565371327751,negative,insomnia
Theta,-30.363718194099675,-29.66932604324272,-30.470481902116916,negative,insomnia
Delta,37.00932095062302,51.29078297898384,35.48659111441608,positive,anxiety
Theta,44.13145759864399,48.4060045881767,43.053809344854045,positive,neutral
Beta,-37.600016099903556,-24.221015136215513,-50.41062413173938,negative,neutral
Delta,37.090663607502066,45.25719487835687,20.75048044037318,positive,neutral
Theta,6.184146083487832,12.298646899561435,4.091394408871818,positive,insomnia
Gamma,-19.259683997890686,0.390493514663504,-19.29372983562866,negative,insomnia
Gamma,45.48565475328027,45.7948612869101,31.469682913947263,positive,anxiety
Gamma,28.52029497687633,29.549587999525432,24.697711872067476,positive,insomnia
Beta,12.173170026509602,24.08813826914316,4.172848590086986,positive,insomnia
Beta,-41.69666738045751,-40.753232898013614,-60.20661115940993,negative,depression
Theta,40.10351045834287,42.30281768806081,37.31436426899948,positive,stress
Beta,47.41718843380136,62.20881323694866,35.704005472679455,positive,stress
Theta,36.286335515969,45.55878544698571,32.64850453899908,positive,stress
Theta,-32.2039834675589,-27.26149110554004,-34.20475818066344,negative,anxiety
Alpha,-30.94067112844242,-13.480184963024797,-49.65284161625737,negative,anxiety
Beta,29.680800713988376,48.52465043427547,11.054103774986508,positive,insomnia
Gamma,7.285858622230144,15.526852611714677,-9.319166426935144,positive,neutral
Beta,5.650153930845825,19.672837325706894,-9.704824696436054,positive,anxiety
Gamma,21.070922240047594,30.09993493099487,3.9292373187335876,positive,stress
Beta,-47.04423703630963,-43.1122030792832,-49.942083797470566,negative,neutral
Alpha,19.542087163786277,20.41240477848162,9.10772227472982,positive,insomnia
Alpha,-41.04438638171405,-27.5160145974312,-55.694678094105846,negative,neutral
Alpha,8.744067380045962,24.93198398801512,-6.6974373210876745,positive,insomnia
Alpha,10.963924168221496,24.29367803668687,-3.801393811840393,positive,depression
Beta,10.042497735694376,12.098452643250159,2.731941891145617,positive,stress
Gamma,-4.854941957139147,-2.7940133231370097,-14.464869915738479,negative,stress
Theta,44.28015233927604,60.409136181020486,44.17612230569465,positive,depression
Theta,-45.14649625722556,-35.18710617382041,-56.27642742071649,negative,neutral
Beta,-23.227405004910263,-8.905037859795383,-40.91147827886881,negative,anxiety
Alpha,-35.91245302591064,-33.71313017097859,-42.56517893570886,negative,neutral
Beta,-40.92285887287047,-29.036076892234167,-51.89361624596225,negative,neutral
Beta,-34.50990024359733,-31.450897638204374,-40.10484165834632,negative,neutral
Gamma,-24.242366476009646,-22.1832025746683,-34.94624426524837,negative,depression
Alpha,-30.524749071513046,-22.424212194299216,-33.65479354392701,negative,neutral
Alpha,33.31695081582701,34.724870238186725,21.2042557606397,positive,anxiety
Beta,-24.571947660572246,-23.80103494368268,-36.60576982636663,negative,insomnia
Theta,30.164922203453173,47.42339314184055,26.176739964227018,positive,stress
Beta,14.155951358139234,14.857475437901641,2.758517711831752,positive,stress
Beta,28.299929290663016,33.74132854336172,25.865897198253982,positive,insomnia
Gamma,29.60872221839803,34.59239075492665,19.5095397990614,positive,anxiety
Gamma,-34.670545083371294,-22.990996070403884,-42.562788263247114,negative,insomnia
Beta,-45.7229015986492,-33.5540524650726,-50.08590991798749,negative,depression
Theta,34.16336760989597,44.94452016689135,20.524668401890356,positive,anxiety
Delta,9.15655548123393,20.33364789830462,5.546983549090488,positive,anxiety
Gamma,17.166266509787093,29.1768749678789,-2.4185237718787533,positive,neutral
Gamma,-2.180555357152514,12.002963537259417,-3.6370750380023997,negative,neutral
Gamma,-9.717651058892152,9.062300167018648,-28.29021036363869,negative,neutral
Theta,3.798368869889913,10.397785272533994,1.166238987054403,positive,anxiety
Alpha,18.302206484086398,33.75427340899604,5.649710954050793,positive,anxiety
Beta,18.919375877459473,25.66257734797457,-0.8561359037337049,positive,neutral
Theta,48.06040101505128,67.35672302853615,41.99044064905462,positive,stress
Theta,14.712662907656409,28.393440842944365,-0.11733038731760814,positive,neutral
Delta,22.02435969435909,39.721831213763195,5.289963413295187,positive,depression
Theta,36.07456882867382,55.814232404913945,19.335306695930637,positive,anxiety
Theta,-30.177288463531017,-18.222062590934925,-31.225277831282288,negative,anxiety
Alpha,28.926814169464805,33.914455919378966,27.132288657525287,positive,anxiety
Gamma,43.72487665937115,62.79832535026509,31.578700870406134,positive,insomnia
Alpha,37.64394888427431,49.41319255832006,36.81382695930096,positive,anxiety
Gamma,-14.182656137472058,-6.4577360711864955,-32.22086891555752,negative,neutral
Gamma,23.79433158862375,30.453095741342903,15.786174624310593,positive,insomnia
Theta,-14.42897797871472,-3.1512423188872027,-23.426130001025697,negative,neutral
Beta,1.4376361851709873,17.72705645189111,-4.294826250103634,positive,depression
Theta,-33.04719668175264,-15.393903504492219,-48.335611002912444,negative,neutral
Gamma,0.759666758047814,19.85932030808019,-14.502960588936201,positive,insomnia
Beta,-48.284954345083705,-34.18935659017342,-57.403734613862724,negative,stress
Gamma,-20.616832539254805,-15.992245065478782,-38.25498216503739,negative,depression
Gamma,-6.521023400196569,-1.425001719724337,-15.15824795550678,negative,insomnia
Gamma,49.91823603178811,58.2013204590619,36.95926231732975,positive,insomnia
Gamma,16.435181980813724,30.266121963643624,9.576071744741176,positive,insomnia
Theta,-32.36972908057232,-15.666348880348618,-38.32562062982174,negative,depression
Delta,48.72704505863189,55.40427476526729,43.411456966389956,positive,neutral
Alpha,49.35288406988617,63.14127917870555,47.26290758394722,positive,stress
Theta,25.53847422034937,40.83825400156711,20.72825123127822,positive,anxiety
Theta,-29.902351848583198,-19.97601659744557,-33.39666287331862,negative,stress
Beta,7.250032255448517,17.11346978041383,-2.6172320460163014,positive,stress
Beta,5.496096083974123,8.949162897942704,-13.643966290900789,positive,neutral
Alpha,-40.97089281881095,-40.342289476811104,-48.99444644762907,negative,stress
Theta,-6.77881584965462,-0.046226919145173184,-21.351172042456255,negative,neutral
Beta,-26.367246908048557,-14.372297060416425,-43.11276852598617,negative,stress
Gamma,35.77911885869433,54.87019497491155,25.35047155595226,positive,depression
Alpha,16.698263110477967,35.25321960604396,6.17559264157568,positive,insomnia
Theta,29.26781283491711,40.72751057817006,16.185903615985602,positive,insomnia
Beta,-1.062941144345011,13.503331078333145,-18.63967957979504,negative,insomnia
Delta,-10.929833956751054,9.062713179355242,-30.329420861818978,negative,anxiety
Gamma,6.178398862250354,25.289298705564345,-11.795544093272827,positive,depression
Gamma,31.71142930216712,41.284980137440314,13.498509603795416,positive,depression
Alpha,32.02509736796915,35.649270195797975,15.89400182946672,positive,insomnia
Alpha,17.946166561603775,35.09588971437606,13.323971821647724,positive,stress
Delta,4.842372008584341,11.637252129864535,-9.659534008332187,positive,insomnia
Theta,34.591540281327966,49.276678893913946,17.206736777193036,positive,depression
Alpha,-43.41763629034534,-26.620441271887756,-53.921482821229155,negative,anxiety
Gamma,-23.25150230853096,-12.494195431731882,-35.439749145701,negative,depression
Alpha,-14.097699521310048,-12.05989178224533,-19.4362124238666,negative,insomnia
Alpha,-40.63678230496646,-36.13755821227859,-51.444259398357104,negative,anxiety
Delta,-43.58901579029272,-30.314613292724943,-49.49023917105764,negative,stress
Alpha,41.73454194652284,48.0356221073519,25.038034165162543,positive,neutral
Alpha,-41.53263035824823,-31.470020563323857,-49.581779196044906,negative,stress
Theta,21.27108323482723,31.2563023618765,5.570464752293425,positive,anxiety
Gamma,43.54483519580033,58.27416268797694,33.61153493895806,positive,stress
Gamma,22.84484242878723,36.90179986470676,9.717915964595933,positive,depression
Gamma,18.65399251693539,38.585535321681476,-0.1330546079636754,positive,anxiety
Gamma,-29.609472318364116,-16.95783601112978,-44.889098999906025,negative,neutral
Delta,-24.535649248282322,-7.29978604191481,-34.49830646220633,negative,insomnia
Delta,-16.771897492637635,-7.67948448606835,-29.882327788144565,negative,anxiety
Beta,-38.88056065786236,-30.937094567233267,-44.426069004778675,negative,anxiety
Delta,-42.200354006136735,-26.301627745257406,-43.713636484200585,negative,depression
Theta,-9.036265205896278,-7.007258428157218,-26.910005090735705,negative,anxiety
Delta,30.68190229894016,40.14121575167644,12.902722324582825,positive,depression
Gamma,11.794209012751203,31.782658321626798,9.150884304996007,positive,depression
Gamma,-35.279102444179344,-17.171484353744884,-48.4993888884373,negative,insomnia
Alpha,-3.8557728532448436,3.3387477072273377,-19.013891605348405,negative,depression
Delta,26.578230832622708,29.206904718337068,10.036791390825915,positive,depression
Gamma,-33.83165205838332,-32.3997187573735,-50.20632633516907,negative,stress
Delta,-1.8124690185060146,12.428119542348236,-3.3099688041871524,negative,neutral
Delta,-34.09462566185627,-20.723215653113073,-34.61110441266075,negative,stress
Beta,-22.56244528979726,-8.369500399516493,-34.28386458390345,negative,stress
Theta,-6.165497176838883,12.362814565807973,-18.177286186780783,negative,stress
Theta,-44.57064312616368,-40.53163743288383,-50.130395963901606,negative,anxiety
Delta,-30.443947505278835,-15.793642101577957,-47.06911158484352,negative,neutral
Gamma,24.30465736654351,30.675312143865685,19.033024300041333,positive,anxiety
Alpha,-46.91932348683756,-34.98660718267958,-60.18269517768821,negative,neutral
Gamma,8.752252134401239,27.49726530068889,6.894566359112188,positive,neutral
Beta,8.919571211691945,10.838118941834844,0.10485516738251022,positive,anxiety
Theta,37.5249251810493,50.576262304595296,35.39337663754498,positive,depression
Gamma,-9.33468033356899,0.11452540067421069,-21.216381789797218,negative,depression
Alpha,34.27229846478332,44.90585286101788,14.711846004273418,positive,anxiety
Beta,43.8880954330815,48.52704045795758,25.04312861296909,positive,anxiety
Beta,46.19221379070693,56.289082922119874,27.25301403175673,positive,stress
Theta,-40.12271557758014,-26.442869171660327,-41.361346919092604,negative,depression
Beta,2.820901106461072,7.326886829253959,2.538827428573197,positive,stress
Gamma,-12.144320003126296,6.061354239978332,-23.15772821987966,negative,depression
Gamma,8.354276840498365,21.563593443935574,8.292661284825831,positive,stress
Beta,-27.40627160949385,-16.545250668697378,-47.25843212188493,negative,depression
Theta,-19.7652731960983,-0.9076119974793144,-22.601439637905912,negative,insomnia
Beta,-21.049429786376272,-6.562619468360886,-25.961336480583483,negative,depression
Theta,-20.239782510761405,-3.8086740932161725,-36.563697961565865,negative,anxiety
Beta,8.386950059444729,22.67812771694107,2.2163013668512477,positive,insomnia
Theta,4.767896519379775,12.535951913094136,1.4174376240195552,positive,neutral
Alpha,-45.10339027174114,-37.034535312115935,-55.087095716771216,negative,anxiety
Delta,-30.730505858355095,-12.910180997289586,-38.90482383181862,negative,anxiety
Theta,-0.298381080474762,18.491789092436193,-18.37612506791712,negative,stress
Alpha,45.67854285473669,64.49454273766207,27.56184647813601,positive,anxiety
Beta,8.700325109511851,17.40675941360027,-11.239592115546333,positive,insomnia
Gamma,-0.7683850149360794,8.708066227526452,-9.493279114643943,negative,depression
Delta,-44.158268325611715,-32.933375809055214,-45.22870183189659,negative,neutral
Alpha,-44.686128602336815,-34.236307326190754,-54.44886802939604,negative,stress
Gamma,23.37174174688566,40.5315354961625,6.711909127448205,positive,insomnia
Theta,14.607905487968111,25.30548302757328,0.9673586049489487,positive,insomnia
