wave_type,mean,max,min,sign,disorder,danger_level,recommended_measure
Delta,-42.85390969282835,-37.22340414529414,-58.292055677478174,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,40.2693815845894,54.626581616985405,24.26556745266517,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,2.14971931652763,6.67845453222242,-1.4094624822579545,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-0.78763982706338,4.804582952248722,-4.321311289324754,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-38.86808922551654,-26.513329045554116,-52.090393988936086,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,10.974842672320186,30.370705540057326,1.988776382382218,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,30.63231596657988,40.565876212409464,25.878641186444625,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-13.321906853840304,-5.861728120883022,-33.055972168452996,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-18.58328053813194,-12.613524133645113,-25.970957800185044,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,10.334825554957746,28.88930968832921,-9.62214346410574,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-36.867257246914534,-20.065945643787508,-55.63585464735793,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-26.806881584018605,-7.76554328648119,-40.341606651835406,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-29.052040175027827,-28.160834292522768,-31.572547798036382,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,8.685504034903992,26.62925785192249,-4.337578701927139,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,44.25933250159683,62.56193210115489,39.06695319038642,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,44.875751038295704,46.5589647327827,33.04691478828432,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,29.609637304395775,34.92442440551316,27.15967824432938,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-12.821161669805583,3.9569172461462117,-20.440458898492224,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-5.8819602879085835,-1.305470099109887,-18.72983565249453,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,6.169711385680486,10.738254514516782,-5.1156850510278975,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,48.56892232199317,67.36477073445265,44.908846735581754,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,28.774453878252686,39.39794768764517,28.514827480611885,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,14.643470176991329,20.776098014269184,9.874435295941009,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,38.36331548164627,51.72316638507735,32.61233071947386,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-17.56748793872174,-1.423386462472454,-31.652718315957323,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,28.919825483308827,34.37403270655805,20.685166133242205,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-18.24136391467991,-3.068635568968645,-33.18783402997599,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,11.011502938598582,26.21750933800316,7.033395069995578,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-47.22962029476725,-44.62762412384117,-62.99117807791568,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-16.131198826756254,-12.118488281173235,-27.938767119924638,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,29.28945658573994,39.09071699516432,12.23472420011084,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-27.413577153144008,-23.60037359869912,-44.548180283423534,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-11.051902104977465,-0.5934552633216583,-21.472523275160853,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-38.94389716928094,-36.47286603998274,-44.24761773809288,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,13.449394802605205,19.280672973440254,5.739512927550345,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-9.50293803741721,1.0685902277305566,-28.30016349898435,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,5.291657307644705,22.041680014717382,-12.459731975336364,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-13.421138009531155,0.18280402928634842,-24.361882770084623,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-22.72448130374489,-18.218015799230574,-31.359830502138813,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,19.342917348280537,26.672074982810745,-0.298821161499788,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-11.655223987337891,1.0607509217625335,-19.543501895845548,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,4.977799683208893,11.070174337721447,-11.237719718854969,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,49.63242539245478,59.05550509103719,48.17206557182525,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-7.594788242100634,2.238906430397412,-15.350974735028156,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-18.231043223863264,-4.329296324973457,-32.84936798880516,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-6.83759272781549,2.2376368887729505,-26.352850430106816,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,12.152841734009847,25.010785615148357,3.2666458361702198,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,5.727975219735903,14.908252295602189,-9.25751350910433,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,6.300457524586143,18.631712547152784,-11.295547535317759,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-13.957140455569316,2.5997821378784636,-24.77449542266565,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-15.022656832956926,-3.7437157565241552,-26.507050267950305,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-1.6353191914160874,4.530251072521587,-5.849645928740378,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-44.690963665641505,-35.94679248636732,-54.99112797639071,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,39.099175526380776,49.1946094119907,38.4679592249658,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-49.29180524598136,-46.94279008622386,-49.38626969635551,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,20.224616117566683,21.484092119028663,17.404481723265064,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,18.285692243754994,34.41471177890413,9.910192762550295,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-47.9000459237211,-31.515033911973134,-60.4646661916003,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-29.177695590423514,-10.715196905149089,-47.372647243150624,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-47.69380837857252,-34.30892894377709,-66.53063208193639,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,32.89036834816147,48.39654706966265,18.984770023580506,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,39.349594678048845,59.088947739804674,28.992484182894877,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,0.047827497883801584,16.357650098297427,-12.936808242465172,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,3.134540994469859,21.340470192662792,0.11572981871666332,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,33.09147664089028,47.47094885237447,14.831083313643429,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-14.267256035602948,-1.8300594552407237,-32.90947162432944,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-22.33550579686997,-5.337723411430531,-39.35320959958946,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,2.8501912636691884,8.077192114536693,-0.8707765098062259,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,30.67907532325063,47.067112150951516,12.85248492125696,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,42.8230684397538,54.756480809064655,39.48388266969887,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-17.955008765456157,-10.303962036889033,-37.68167053611087,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-37.830855255764405,-20.342685999140425,-46.325386029749374,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-8.096397483513464,11.855316542859029,-20.237131701406582,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-4.421117443558245,3.8004275700690062,-8.440269736879145,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,48.399246508601706,56.760491990496945,44.012744499824066,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,12.759017526481117,14.079346853972153,1.0855846509401115,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,31.180107997008136,35.23639688697703,14.692443075985093,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,13.477986127644783,16.771520193775732,11.63855212807314,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,49.91094096283268,59.19313063996378,43.7207293138032,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,23.851654821693117,31.98559107983026,16.69364461529101,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,2.066909827508603,2.7014600062404037,-15.141594043718321,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-29.85568780090625,-22.510643830592457,-32.675631225053934,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,1.2291620976872721,18.94827910598965,-5.625212177500572,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,45.60069342060025,46.17371880293938,35.430173900184315,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-12.518224108696572,-10.590876723149565,-13.423559595412316,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-17.461786645717524,-14.737842211942354,-27.74167465194865,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,27.612282870575314,29.95886360466251,20.45746308395614,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,44.86927156464779,50.440672116407285,36.604117407102116,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-15.32040847343211,-4.303442180578475,-26.88712366622977,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-29.79874623957115,-11.140693381856156,-33.55454315554903,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-38.14828660064102,-23.43919376780557,-52.258668037800746,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-47.87058176904014,-30.226688705769405,-50.34360584727919,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,0.8928799654493886,17.956495356687284,-1.7454345132654052,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-31.42812016219042,-18.08643673605489,-36.59354373271132,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,42.99181605076387,62.447787408854815,30.357741923207698,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,34.1687641100022,47.322199880472795,29.22227279313416,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-27.25053232936364,-8.430190955858357,-42.731643257551625,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,44.16171132237416,59.0497980951547,43.22552511578108,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,40.578379484098676,60.40330824880159,40.46303265157384,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-36.77221523975391,-36.4126109636079,-39.21945043106649,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-1.5092811373307455,7.6764284906489735,-6.681356930125434,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,29.865783175486584,31.069877965391917,15.940447775482278,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,27.241796890131212,27.676337797212,14.275165047090054,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,10.178598713241435,26.514722140958764,-5.373587260626994,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-29.999679602038455,-21.96610575683561,-41.65421552286032,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-4.44008707483998,8.033917751675212,-19.663223224635132,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-22.65765151149901,-10.930647090683646,-33.75809527878921,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,10.145944471513225,28.52326598385033,4.098164870482691,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-0.9797033168935556,14.666411645450912,-2.6032668371962466,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-16.861198789202682,-4.927673524395711,-24.63368177941092,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-21.157246116558127,-5.309241269024133,-38.767504989002035,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-4.425057486986795,10.64727685503144,-21.666812953751734,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,23.565803320609206,28.97730505425631,22.412371201376047,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,26.006405620542182,45.508436993314184,9.849411913504692,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,13.647767594257033,31.9736380293094,5.88921801799284,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,3.765142793253517,10.91130418824202,-7.821369104957633,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,32.27229133553659,34.85952728051134,13.808699448247104,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-35.1163986907939,-30.536741019268177,-43.200692968660725,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-11.7678032801104,5.67131051425325,-21.446348838452927,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-1.311272634041238,10.164442088656793,-21.183757159318333,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-46.94917298218688,-39.90053980467327,-49.34269843940057,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-41.9688123020279,-32.20128674776575,-46.0451219496714,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,21.395790418525422,36.225988607968844,19.102199313059153,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-13.71376322116631,-12.597095955486035,-13.99982989176203,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-29.576368897793447,-17.951239139916307,-34.87758543255166,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-24.299916882413232,-8.537309661890593,-25.160532510165208,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,30.888255685861665,46.93437602053601,15.472402377820133,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-28.087139255927273,-8.923931316678523,-42.95499095700018,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-8.538281384012969,-3.6927519501387502,-15.713000281310219,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,8.882983882410315,11.960333547383676,-3.0230841839483933,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,43.271910618161726,58.2755605779347,42.395994443561726,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,1.667620448315624,18.055897845528726,0.35126046610362094,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,3.3582378506697097,17.1309349731415,-6.120933028868894,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-21.67180648416921,-9.083508739274125,-22.487504710698182,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,39.24328923953331,53.43181461158726,32.78146034367042,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-18.738973034492524,-0.5789108182342346,-38.260394098004284,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-3.9464884850986337,0.07510541047452524,-16.14930762947848,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,19.104981697468176,29.882415633088065,4.231565487162655,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-29.037064098113152,-26.126087248100024,-37.57527953097576,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-35.91216121249919,-27.618667135572515,-53.064487217761695,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-13.33638828737562,-6.273973227483462,-22.421032879959842,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-44.68458275869567,-41.569894136230346,-50.56048078791772,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-30.43672376759794,-24.610406341561735,-42.730918292551436,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-27.968315411779187,-19.302124396401005,-44.151227170651794,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-24.56442893452384,-10.956959419122722,-29.140355633087207,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-27.091726400681225,-12.797662023982488,-44.8536510940874,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-36.58191505208382,-25.070005337707936,-39.79430133763154,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-32.57458883660335,-25.28823324062102,-50.861578754711644,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,43.226487004183696,61.74705177413611,36.16395935004959,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-15.668923234120847,1.153996736328594,-32.73910087722332,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-11.58812776530661,2.830040618073472,-12.911936649677852,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,27.515499870463415,41.07549824445192,26.33291797507127,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,35.475285871154924,46.881435499027944,31.0031863033973,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,48.8299572066644,57.84365269990214,40.02610538551989,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-42.78510336575878,-23.307859958271337,-55.69095864885442,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-36.459614396350446,-18.487804421066695,-53.03249739047115,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-25.203299056466655,-18.57379176456856,-26.41074468834144,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,45.395757795918755,48.33118153950724,38.39410708897105,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-19.263326931211168,-7.884789842789601,-21.016265016308566,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,25.030191673790668,31.34998725607164,20.228896644978782,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,4.753590667640573,19.370831323865197,3.7104908225247017,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,49.674962784229976,67.69381281726555,35.95015293558933,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,34.03721791004017,51.991316305880545,29.035094210969746,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,23.870924637034307,40.934609582861405,5.273067440675526,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-17.000011209325095,-4.383427560909713,-26.940962510375343,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-30.703659096344037,-20.639522950176016,-32.88910656837736,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-19.10398297288154,-15.604273064537878,-28.2603221080346,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-38.63174209895583,-35.17996239315718,-55.78507128879178,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,38.03872471891209,50.92802508466731,21.4020753605427,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,17.62850261062775,35.762884743040566,11.666864599214819,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-7.304010854850198,2.1817064421150114,-19.881110562405638,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-3.2095544939685468,2.9366941907768744,-15.248804729495538,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-23.663597284936465,-7.817485406461234,-25.35709017610452,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,21.597186529049168,22.095407133614884,19.064725214263525,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-3.789497839329904,14.44053191282553,-5.0944496326956115,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-8.67018800641921,-4.463580052848945,-10.248741400929614,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-17.940404577450067,-10.679456148698232,-36.61678499919915,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,29.43450407649813,45.92242397059457,23.135218304722883,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,31.61048247543239,38.03243406187364,15.092549021472749,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,4.7414700137843795,24.508737603119133,-10.44801044152788,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,5.454553884721783,18.607180834286602,-8.07233289481505,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,21.66445147041594,27.646792850421427,6.310234194383074,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-35.04993085384762,-33.23932279959883,-35.97011142837067,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-1.7167716251129477,1.835613681597525,-1.7929187517994198,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,3.0476997247410296,3.1559803814668483,-8.73541276688108,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-48.00378165532848,-32.01923338578066,-65.41182717750019,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-26.887261901715355,-7.229446122282091,-46.53961460218694,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,9.892313343884126,10.900242201928645,-9.326396414879223,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,27.048434508200714,43.77328377544466,7.829327997219828,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,0.475745796978444,11.703347494041402,-11.74642912805243,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-13.119566957371589,-6.4663236213181925,-14.221432357519085,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,48.2823359647322,57.747876126958396,39.43272776562456,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-29.229838295264155,-15.667863480787876,-39.3980719617587,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,8.75028021130845,10.690080636288942,-9.025355469623129,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,23.74253623047143,34.586168982861935,16.574909028497324,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-9.269419710697015,7.844106883509205,-13.081068615504616,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-16.931042057954073,-3.8096281908437213,-32.66590131981553,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,25.013355930996468,42.32926283261054,5.3929826489096335,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-12.022871934627624,0.8647671916884203,-23.165492047999578,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,17.927396259880794,33.585998874793454,3.7439242161860946,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-37.30694134734264,-34.14254612739205,-45.35553993264504,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-1.5798400557098446,8.63526701995448,-5.635709816484537,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,28.754969054175646,48.61575381920183,15.796134889787846,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-4.963453082878374,12.776032976684988,-21.94632721672033,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,14.034841412102267,14.182938208403934,-0.5678067377501357,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,32.0137489275898,44.085297601771174,21.67239945618587,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,19.177826930579172,25.39608207527005,7.7391241533155295,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,45.499060150297254,46.11792019006262,40.871168659991454,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,12.240075222060042,24.557138003878435,2.07898130807075,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-25.564650491268438,-20.36453981611218,-34.073929775775774,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,6.77391468215626,17.42059180304006,2.3092814416704908,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-17.787236850735724,1.9334266936670517,-22.012280886524675,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-31.276817860027283,-16.28742902935083,-46.70243736492205,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
